Year,State,District,People,AvgSyllabicCount,Name1,Name2,Name3,Name4,Name5,Name6,Name7,Name8,Name9,Name10
1972,Madhya Pradesh,Umaria,7486,2.089,Munni,Ram,Shyam,Phoola,Gita,Sunita,Mira,Munna,Prem,Ramesh
1972,Madhya Pradesh,Vidisha,16982,2.2,Ram,Munni,Kamala,Raj,Guddi,Gita,Hari,Phoola,Ramesh,Munna
1972,Manipur,Bishnupur,3160,2.556,Oinam,Laishram,Ningthoujam,Moirangthem,Salam,Wahengbam,Thokchom,Khwairakpam,Pukhrambam,Yumnam
1972,Manipur,Chandel,495,2.505,Mary,Sankhil,Tinkhoneng,Neikholhing,Chinlam,Khinahring,Jangkhopao,Nemkhochin,Samuel,Chinkhoneng
1972,Manipur,Churachandpur,3345,2.668,Mary,Hoinu,John,Mankhanching,Nengneilhing,Lal,Niang,David,Seikhomang,Hatneilhing
1972,Manipur,Imphal East,5648,2.628,Laishram,Thokchom,Moirangthem,Ningombam,Ningthoujam,Thangjam,Yumnam,Chingakham,Kshetrimayum,Nongthombam
1972,Manipur,Imphal West,6997,2.571,Laishram,Yumnam,Thokchom,Ningthoujam,Moirangthem,Oinam,Longjam,Thounaojam,Maibam,Salam
1972,Manipur,Kamjong,155,2.523,Chonmila,Chithung,Soreingam,Wisdom,Ringphami,Solomi,Themreiyo,Lunghar,Angamla,Elvis
1972,Manipur,Kangpokpi,1723,2.501,Man,Chandra,Ram,Nemneilhing,Maya,Indra,Nengneilhing,Meena,Kumar,Sita
1972,Manipur,Noney,129,2.884,Lungchuiliu,Lanthailung,Khangongliu,Pantilung,Meigailiu,Tagong,Kaguilung,Thempou,Tahiamliu,Guisinang
1972,Manipur,Senapati,3544,2.299,Lokho,John,Adaphro,Mary,Kaisa,Kholi,Adani,Sani,Losa,Athia
1972,Manipur,Tamenglong,1008,2.9789999999999996,David,Jacob,John,Dichamlungliu,Kiriading,Tadinbou,Wiriangbou,Moses,Deigratia,Simion
1972,Manipur,Tengnoupal,530,2.511,Manshim,Charanga,Teshil,Shangkhu,Modaphun,Lamneilhing,Lhunpao,Teon,Moshil,Toshang
1972,Manipur,Thoubal,5813,2.575,Laishram,Moirangthem,Ningthoujam,Thokchom,Naorem,Elangbam,Kshetrimayum,Yumnam,Mayanglambam,Maibam
1972,Manipur,Ukhrul,335,2.519,Ringphami,Mayonmi,Lucy,Jacob,Ragui,Wungnaoyo,Hoping,Prem,Philathing,Sarah
1972,Meghalaya,East Garo Hills,1560,2.3369999999999997,Sengban,Penilla,Gatwin,Subash,Merina,Salseng,Sonilla,Willing,Raju,Toban
1972,Meghalaya,East Jaintia Hills,733,1.8730000000000002,Linda,Stanly,Simon,Dimon,Wan,Bhalang,Lucy,Phim,Shngain,Blo
1972,Meghalaya,East Khasi Hills,6971,2.428,Rita,Sunita,Anita,Mary,Krishna,Maya,Ram,Uma,Sanjay,Sabitri
1972,Meghalaya,North Garo Hills,2020,2.51,John,Mina,Merilla,Terisa,Anitha,Predick,Francis,Silseng,Ormilla,Idina
1972,Meghalaya,Ri Bhoi,2236,2.2119999999999997,Francis,Bishnu,Metilda,Regina,Juliana,Shemphang,Bolding,Rita,Lucia,Joseph
1972,Meghalaya,South Garo Hills,1339,2.419,Norila,Dominic,Gretalin,Sebina,Atul,Bedison,Romilla,Trenilla,Mella,Sadhan
1972,Meghalaya,South West Garo Hills,1496,2.4730000000000003,Abdul,Nenji,Suchitra,Nonji,Ranjit,Dilip,Anil,Bijoy,Krishna,Sanjing
1972,Meghalaya,South West Khasi Hills,892,2.52,Elias,Theresia,Ernestina,Agnes,Enboklin,Premola,Arnes,Ferdinand,Shrit,Philip
1972,Meghalaya,West Garo Hills,5858,2.415,Abdul,Anil,Bina,Krishna,Dipali,Prodip,Nenji,John,Dilip,Nur
1972,Meghalaya,West Jaintia Hills,2645,2.051,Emlang,Lakhon,Lang,Kyrmen,Phyrnai,Biang,Kongka,Pyndap,Long,Tngen
1972,Meghalaya,West Khasi Hills,2316,2.475,Khristina,Probina,Philisita,Tarsis,Linus,Albinus,Diolin,Debora,Diona,Sildaris
1972,Mizoram,Aizawl,3338,3.583,Lalhlimpuii,Lalhmingmawii,Lalawmpuii,Lalmuanpuii,Lalnunmawii,Vanlalruati,Laltanpuii,Lalduhawmi,Lalchhanhimi,Laltanpuia
1972,Mizoram,Champhai,826,3.585,Laltanpuii,Lalthlamuani,Lalchungnunga,Vanlalruata,Laltlanthangi,Rohlupuia,Lalnunsanga,Lalmuanpuii,Lalhmingthangi,Lalnunmawii
1972,Mizoram,Kolasib,768,3.451,Laltanpuii,Lalmuanpuii,Lalrinsangi,Lalhmachhuana,Lalnunmawia,Lalhlimpuii,Lalthankima,Lalnunmawii,Vanlalhriata,Lalhlupuii
1972,Mizoram,Lawngtlai,848,2.904,Shanti,Parmawii,Chandra,Lokhi,Doya,Gyana,Maya,Suresh,Nilo,Lalnunmawii
1972,Mizoram,Lunglei,761,3.338,Lalnunmawii,Laltanpuii,Lalnunmawia,Lalhmangaihzuali,Lalbiaktluanga,Sangzuali,Lalhlupuii,Bimal,Anil,Monu
1972,Mizoram,Mamit,790,3.2969999999999997,Lalrinsangi,Lalhmachhuana,Lalhlimpuii,Lalrinpuii,Muankima,Lalramliana,Lalnuntluanga,Zohmangaihi,Lakhi,Zoramthanga
1972,Mizoram,Saiha,266,2.5789999999999997,Lawmzuali,Nuzi,Lalchhanhima,Ngokhe,Vanlalfeli,Thansiami,Chhuady,Sakhmingthangi,Jerry,Hari
1972,Mizoram,Serchhip,449,3.4939999999999998,Lalawmpuia,Lalbiakdiki,Lalramliani,Lalhmingthanga,Lalrinawmi,Laltanpuia,Lalchhuanmawii,Chhuanawmi,Zoramliani,Lallawmzuali
1972,Nagaland,Dimapur,3866,2.66,Ram,Anita,Rina,Narola,Rajesh,Anungla,Maya,Vitoli,Dilip,Babul
1972,Nagaland,Kiphire,892,2.742,Apila,Lisela,Selila,Hotingse,Litsala,Asula,Selipa,Selichum,Atsapa,Akhala
1972,Nagaland,Kohima,2715,2.861,Alemla,Lily,Sanuo,Neinuo,Medoneinuo,Khrieno,Bendang,Ahile,Rachel,Lucy
1972,Nagaland,Longleng,732,2.003,Atok,Yungmei,Moba,Chingmei,Pangtok,Koishom,Khamnyu,Mongnyei,Longching,Ali
1972,Nagaland,Mokokchung,1854,3.609,Moatoshi,Limanungsang,Bendangmongba,Tiarenla,Bendangtoshi,Moanaro,Watinungsang,Moatemjen,Talimeren,Tiakaba
1972,Nagaland,Mon,1874,1.962,Monyu,Niangmai,Akai,Neangnyu,Bemang,Angki,Pongnyu,Mopa,Phainyu,Mannyu
1972,Nagaland,Peren,794,2.6460000000000004,Nenem,Mosa,Paongam,Esther,Paotinlal,Alungle,Lamsat,Solomon,Agui,Igumsile
1972,Nagaland,Phek,1674,3.016,Avino,John,Thekhru,Nuvotalu,Nusavolu,Vekusalu,Vezotalu,Akholu,Daniel,Maria
1972,Nagaland,Pughoboto,208,2.7260000000000004,Sukhato,Hevili,Anne,Mary,Vikuto,Qhetoli,Vitoshe,Qhevili,Kiyeto,Ghujuli
1972,Nagaland,Tuensang,1445,2.376,Chuba,Asang,Lepla,Mongshai,Muthiam,Ajong,Sujang,Asangla,Noksen,Sipong
1972,Nagaland,Wokha,1096,2.7910000000000004,Abeni,Mhalo,Nzanbeni,Mhathung,Mhonthung,Nchumbemo,Mhono,Mhonbemo,Yanpothung,Lucy
1972,Nagaland,Zunheboto,1039,2.81,Hukali,Akali,Kanili,Akato,Kaholi,Shikato,Atoli,Mughavi,Hokato,Kheholi
1972,Puducherry,Karaikal,3309,3.43,Shanthi,Mohamed,Selvi,Ravi,Lakshmi,Sivakumar,Rani,Vijaya,Amudha,Santhi
1972,Puducherry,Mahe,529,2.531,Preetha,Anitha,Anil,Manoj,Beena,Pradeepan,Ajitha,Sreeja,Usha,Sheeba
1972,Puducherry,Puducherry,15635,3.355,Murugan,Selvi,Lakshmi,Sumathi,Shanthi,Santhi,Vijayalakshmi,Arumugam,Ramesh,Sivakumar
1972,Puducherry,Yanam,613,3.0410000000000004,Malladi,Karri,Kanakala,Palepu,Oleti,Pemmadi,Akula,Ganja,Guttula,Chinta
1972,Uttar Pradesh,Agra,47014,2.509,Sunita,Ram,Kamalesh,Mina,Pappu,Guddi,Rakesh,Mira,Guddi,Ashok
1972,Uttar Pradesh,Aligarh,36199,2.6289999999999996,Kamalesh,Sunita,Pushpa,Rakesh,Mina,Pappu,Guddi,Saroj,Mukesh,Ram
1972,Uttar Pradesh,Allahabad,71327,2.5580000000000003,Ram,Shiva,Gita,Raj,Sushil,Sunita,Shyam,Nirmal,Rajendra,Rajesh
1972,Uttar Pradesh,Amethi,12809,2.5660000000000003,Ram,Shiva,Raj,Savitri,Nirmal,Sushil,Shyam,Gita,Shanti,Asha
