Year,State,District,In-migrants
1977 - 1981,Andhra Pradesh,Visakhapatnam,142488
1977 - 1981,Andhra Pradesh,Vizianagaram,62801
1977 - 1981,Andhra Pradesh,West Godavari,155044
1977 - 1981,Arunachal Pradesh,Changlang,5155
1977 - 1981,Arunachal Pradesh,Dibang Valley,2779
1977 - 1981,Arunachal Pradesh,East Kameng,788
1977 - 1981,Arunachal Pradesh,East Siang,2435
1977 - 1981,Arunachal Pradesh,Lohit,9387
1977 - 1981,Arunachal Pradesh,Lower Subansiri,7339
1977 - 1981,Arunachal Pradesh,Tawang,1375
1977 - 1981,Arunachal Pradesh,Tirap,2576
1977 - 1981,Arunachal Pradesh,Upper Subansiri,1320
1977 - 1981,Arunachal Pradesh,West Kameng,2953
1977 - 1981,Arunachal Pradesh,West Siang,3306
1977 - 1981,Chandigarh,Chandigarh,60608
1977 - 1981,Dadra And Nagar Haveli,Dadra And Nagar Haveli,5179
1977 - 1981,Daman And Diu,Daman,2182
1977 - 1981,Daman And Diu,Diu,977
1977 - 1981,Goa,North Goa,37971
1977 - 1981,Goa,South Goa,31726
1977 - 1981,Haryana,Ambala,42423
1977 - 1981,Haryana,Bhiwani,41558
1977 - 1981,Haryana,Faridabad,83390
1977 - 1981,Haryana,Gurgaon,41877
1977 - 1981,Haryana,Hisar,76676
1977 - 1981,Haryana,Jind,39103
1977 - 1981,Haryana,Kaithal,29645
1977 - 1981,Haryana,Karnal,36276
1977 - 1981,Haryana,Kurukshetra,26850
1977 - 1981,Haryana,Mahendragarh,25949
1977 - 1981,Haryana,Panipat,35243
1977 - 1981,Haryana,Rewari,23352
1977 - 1981,Haryana,Rohtak,64113
1977 - 1981,Haryana,Sirsa,43851
1977 - 1981,Haryana,Sonipat,31373
1977 - 1981,Haryana,Yamunanagar,35750
1977 - 1981,Himachal Pradesh,Bilaspur,11938
1977 - 1981,Himachal Pradesh,Chamba,12896
1977 - 1981,Himachal Pradesh,Hamirpur,17175
1977 - 1981,Himachal Pradesh,Kangra,60974
1977 - 1981,Himachal Pradesh,Kinnaur,3806
1977 - 1981,Himachal Pradesh,Kullu,9384
1977 - 1981,Himachal Pradesh,Lahaul And Spiti,885
1977 - 1981,Himachal Pradesh,Mandi,28594
1977 - 1981,Himachal Pradesh,Shimla,28108
1977 - 1981,Himachal Pradesh,Sirmaur,15384
1977 - 1981,Himachal Pradesh,Solan,16996
1977 - 1981,Himachal Pradesh,Una,16921
1977 - 1981,Madhya Pradesh,Balaghat,49132
1977 - 1981,Madhya Pradesh,Betul,39323
1977 - 1981,Madhya Pradesh,Bhind,43131
1977 - 1981,Madhya Pradesh,Bhopal,72677
1977 - 1981,Madhya Pradesh,Chhatarpur,37808
1977 - 1981,Madhya Pradesh,Chhindwara,55930
1977 - 1981,Madhya Pradesh,Damoh,36670
1977 - 1981,Madhya Pradesh,Datia,14688
1977 - 1981,Madhya Pradesh,Dewas,49445
1977 - 1981,Madhya Pradesh,Dhar,50278
1977 - 1981,Madhya Pradesh,Guna,46453
1977 - 1981,Madhya Pradesh,Gwalior,49929
1977 - 1981,Madhya Pradesh,Hoshangabad,50100
1977 - 1981,Madhya Pradesh,Indore,72961
1977 - 1981,Madhya Pradesh,Jabalpur,108028
1977 - 1981,Madhya Pradesh,Jhabua,34269
1977 - 1981,Madhya Pradesh,Khandwa,59613
1977 - 1981,Madhya Pradesh,Khargone,74539
1977 - 1981,Madhya Pradesh,Mandla,42002
1977 - 1981,Madhya Pradesh,Mandsaur,64430
1977 - 1981,Madhya Pradesh,Morena,62557
1977 - 1981,Madhya Pradesh,Narsinghpur,31066
1977 - 1981,Madhya Pradesh,Panna,26374
1977 - 1981,Madhya Pradesh,Raisen,35823
1977 - 1981,Madhya Pradesh,Rajgarh,36819
1977 - 1981,Madhya Pradesh,Ratlam,42296
1977 - 1981,Madhya Pradesh,Rewa,53111
