Year,State,District,AvgSyllabicCount,In-migrants
1972 - 1976,Uttar Pradesh,Firozabad,2.573075301967477,44232
1972 - 1976,Uttar Pradesh,Ghaziabad,2.2799538568672415,46102
1972 - 1976,Uttar Pradesh,Hamirpur,2.572282701677292,31019
1972 - 1976,Uttar Pradesh,Hardoi,2.4037646854185115,71231
1972 - 1976,Uttar Pradesh,Jalaun,2.4457892109067503,27690
1972 - 1976,Uttar Pradesh,Jhansi,2.5148261265644125,41880
1972 - 1976,Uttar Pradesh,Kanpur Rural,2.421474529504441,44909
1972 - 1976,Uttar Pradesh,Kanpur Urban,2.2519571781067893,46289
1972 - 1976,Uttar Pradesh,Kheri,2.3680094917712347,40060
1972 - 1976,Uttar Pradesh,Lalitpur,2.7310616879349663,16876
1972 - 1976,Uttar Pradesh,Lucknow,2.1412646106380624,71801
1972 - 1976,Uttar Pradesh,Mainpuri,2.687507351282385,33783
1972 - 1976,Uttar Pradesh,Mathura,2.381573535433296,49053
1972 - 1976,Uttar Pradesh,Mau,2.672293930869767,31736
1972 - 1976,Uttar Pradesh,Meerut,2.445982758568126,58883
1972 - 1976,Uttar Pradesh,Moradabad,2.373036608803168,60991
1972 - 1976,Uttar Pradesh,Muzaffarnagar,2.5766091330021874,74139
1972 - 1976,Uttar Pradesh,Pilibhit,2.628185301763375,30893
1972 - 1976,Uttar Pradesh,Pratapgarh,2.687439585096896,59356
1972 - 1976,Uttar Pradesh,Rae Bareli,2.3238042417089653,56524
1972 - 1976,Uttar Pradesh,Rampur,2.4436294490472905,29520
1972 - 1976,Uttar Pradesh,Saharanpur,2.573852819612213,53804
1972 - 1976,Uttar Pradesh,Shahjahanpur,2.6521856984765613,39632
1972 - 1976,Uttar Pradesh,Sitapur,2.5012665619327117,69289
1972 - 1976,Uttar Pradesh,Sultanpur,2.678385761336071,62180
1972 - 1976,Uttar Pradesh,Unnao,2.277328742649668,60656
1972 - 1976,Uttarakhand,Chamoli,2.1263699242,11779
1972 - 1976,Uttarakhand,Dehradun,2.0558884974,40564
1972 - 1976,Uttarakhand,Haridwar,2.2664841953999995,37272
1972 - 1976,Uttarakhand,Nainital,1.9623184956,68997
1972 - 1976,Uttarakhand,Pauri Garhwal,2.1196849846,13187
1972 - 1976,Uttarakhand,Uttarkashi,2.1824680546,5086
1977 - 1981,Andhra Pradesh,Anantapur,3.3589911764000018,107593
1977 - 1981,Andhra Pradesh,Chittoor,3.0780424502,108662
1977 - 1981,Andhra Pradesh,East Godavari,3.5265816944,181680
1977 - 1981,Andhra Pradesh,Guntur,3.3011927433999997,155231
1977 - 1981,Andhra Pradesh,Kadapa,2.6430945562000003,73423
1977 - 1981,Andhra Pradesh,Krishna,3.2279656134,157118
1977 - 1981,Andhra Pradesh,Kurnool,2.5178231642,98904
1977 - 1981,Andhra Pradesh,Nellore,2.6244775468,88358
1977 - 1981,Andhra Pradesh,Prakasam,2.7865355404,78682
1977 - 1981,Andhra Pradesh,Srikakulam,2.7067685114,73331
1977 - 1981,Andhra Pradesh,Visakhapatnam,3.2238526108000003,142488
1977 - 1981,Andhra Pradesh,Vizianagaram,2.7433399682,62801
1977 - 1981,Andhra Pradesh,West Godavari,3.4924920358,155044
1977 - 1981,Arunachal Pradesh,Changlang,2.1559817114000004,5155
1977 - 1981,Arunachal Pradesh,Dibang Valley,2.1118083196,2779
1977 - 1981,Arunachal Pradesh,East Kameng,1.898980506,788
1977 - 1981,Arunachal Pradesh,East Siang,2.0338450148,2435
1977 - 1981,Arunachal Pradesh,Lohit,2.3076538988000004,9387
1977 - 1981,Arunachal Pradesh,Lower Subansiri,1.8160626119999999,7339
1977 - 1981,Arunachal Pradesh,Papum Pare,2.0342294034,7339
1977 - 1981,Arunachal Pradesh,Tawang,1.890404375,1375
1977 - 1981,Arunachal Pradesh,Tirap,2.0085017788,2576
1977 - 1981,Arunachal Pradesh,Upper Subansiri,1.8800105842,1320
1977 - 1981,Arunachal Pradesh,West Kameng,1.9379512363999998,2953
1977 - 1981,Arunachal Pradesh,West Siang,1.8934997913999998,3306
1977 - 1981,Chandigarh,Chandigarh,2.478472345520629,60608
1977 - 1981,Dadra And Nagar Haveli,Dadra And Nagar Haveli,2.2974244850078023,5179
1977 - 1981,Daman And Diu,Daman,2.3260243658610285,2182
1977 - 1981,Daman And Diu,Diu,2.354183818876073,977
1977 - 1981,Goa,North Goa,2.4135573894,37971
1977 - 1981,Goa,South Goa,2.4538339094,31726
1977 - 1981,Haryana,Ambala,2.357783213852336,42423
1977 - 1981,Haryana,Bhiwani,2.190959122591557,41558
1977 - 1981,Haryana,Faridabad,2.573645980694938,83390
1977 - 1981,Haryana,Gurgaon,2.1594444821119056,41877
1977 - 1981,Haryana,Hisar,2.3395296514151385,76676
1977 - 1981,Haryana,Jind,2.285792151847855,39103
1977 - 1981,Haryana,Kaithal,2.37942957678089,29645
1977 - 1981,Haryana,Karnal,2.2744324221064307,36276
1977 - 1981,Haryana,Kurukshetra,2.395156121934579,26850
