Year,State,District,People,Avg. Syllabic Count
1994,Haryana,Panipat,17225,2.7927431059506533
1994,Haryana,Rewari,11608,2.8159889731219847
1994,Haryana,Rohtak,13174,2.7967208137240016
1994,Haryana,Sirsa,20651,3.1431891918066923
1994,Haryana,Sonipat,16978,2.779773824949935
1994,Haryana,Yamunanagar,8895,2.9814502529510962
1994,Himachal Pradesh,Bilaspur,4856,2.770387149917628
1994,Himachal Pradesh,Chamba,6427,2.681188735024117
1994,Himachal Pradesh,Hamirpur,28298,2.935119089688317
1994,Himachal Pradesh,Kangra,17409,2.8055603423516566
1994,Himachal Pradesh,Kinnaur,948,2.7341772151898733
1994,Himachal Pradesh,Kullu,6476,2.64005558987029
1994,Himachal Pradesh,Mandi,10021,2.6688953198283603
1994,Himachal Pradesh,Shimla,8038,2.7607613834287137
1994,Himachal Pradesh,Sirmaur,4988,2.8255813953488373
1994,Himachal Pradesh,Solan,4898,2.8685177623519804
1994,Himachal Pradesh,Una,5170,2.8833655705996133
1994,Madhya Pradesh,Balaghat,29268,3.156758234249009
1994,Madhya Pradesh,Barwani,24056,2.9523611572996336
1994,Madhya Pradesh,Betul,28419,2.983039515816884
1994,Madhya Pradesh,Bhind,23008,2.991003129346314
1994,Madhya Pradesh,Bhopal,37944,2.8303289057558514
1994,Madhya Pradesh,Chhatarpur,27592,3.199441867207886
1994,Madhya Pradesh,Chhindwara,34724,3.10877203087202
1994,Madhya Pradesh,Damoh,20898,2.9938750119628668
1994,Madhya Pradesh,Datia,13131,2.9926129007691715
1994,Madhya Pradesh,Dewas,25888,2.8933868974042025
1994,Madhya Pradesh,Dhar,35515,2.9700408278192314
1994,Madhya Pradesh,Dindori,5906,3.093972231628852
1994,Madhya Pradesh,Guna,18945,2.885721826339404
1994,Madhya Pradesh,Gwalior,31139,2.877195799479752
1994,Madhya Pradesh,Harda,9486,2.956989247311828
1994,Madhya Pradesh,Hoshangabad,18044,2.93072489470184
1994,Madhya Pradesh,Indore,53949,2.822999499527332
1994,Madhya Pradesh,Jabalpur,25837,2.8301660409490266
1994,Madhya Pradesh,Jhabua,25566,2.731792224047563
1994,Madhya Pradesh,Katni,23928,2.834378134403209
1994,Madhya Pradesh,Khandwa,21920,2.9485857664233577
1994,Madhya Pradesh,Khargone,32396,2.9735152487961476
1994,Madhya Pradesh,Mandla,15941,2.9730882629697013
1994,Madhya Pradesh,Mandsaur,17806,3.17982702459845
1994,Madhya Pradesh,Morena,29591,3.000101382177013
1994,Madhya Pradesh,Narsinghpur,14758,3.0015584767583685
1994,Madhya Pradesh,Neemuch,9505,3.2300894266175697
1994,Madhya Pradesh,Panna,18176,2.9804137323943665
1994,Madhya Pradesh,Raisen,22585,3.010892185078592
1994,Madhya Pradesh,Rajgarh,23688,3.116767983789261
1994,Madhya Pradesh,Ratlam,21458,2.9423525025631467
1994,Madhya Pradesh,Rewa,38007,2.9884231852027257
1994,Madhya Pradesh,Sagar,41034,2.989033484427548
1994,Madhya Pradesh,Satna,28993,2.9208084710102438
1994,Madhya Pradesh,Sehore,23539,2.8779472365011256
1994,Madhya Pradesh,Seoni,16510,3.1772864930345244
