Year,State,District,GDP
1995,Uttar Pradesh,Auraiyya,1301.7117592495765
1995,Uttar Pradesh,Chitrakoot,233.53085172175514
1995,Uttar Pradesh,Moradabad,1938.113105134038
1995,Uttar Pradesh,Sultanpur,855.2187542886296
1995,Uttar Pradesh,Meerut,3610.348759211128
1995,Uttar Pradesh,Fatehpur,725.5296993360494
1995,Uttar Pradesh,Unnao,799.0707024383928
1995,Uttar Pradesh,Hardoi,859.2450374325902
1995,Uttar Pradesh,Bijnor,1945.1980976758216
1995,Uttar Pradesh,Lalitpur,400.792049193338
1995,Uttar Pradesh,Hamirpur,2514.8949948315194
1995,Uttar Pradesh,Kanpur Urban,3200.2535300736645
1995,Uttar Pradesh,Faizabad,772.7559764823674
1995,Uttar Pradesh,Farrukhabad,1345.434689958306
1995,Uttar Pradesh,Saharanpur,1645.2403167934253
1995,Uttar Pradesh,Rampur,1113.6216316492328
1995,Uttar Pradesh,Barabanki,783.2524567995024
1995,Uttar Pradesh,Kaushambi,338.9184491061808
1995,Uttar Pradesh,Lucknow,3739.584923430213
1995,Uttar Pradesh,Ghaziabad,4984.877397416326
1995,Uttar Pradesh,Gautam Buddh Nagar,2069.0644268859883
1995,Uttar Pradesh,Firozabad,989.169902936978
1995,Uttar Pradesh,Kheri,1605.0696942932211
1995,Uttar Pradesh,Agra,2515.412709306281
1995,Uttar Pradesh,Etah,1352.4899611326089
1995,Uttar Pradesh,Rae Bareli,665.9829064475924
1995,Uttar Pradesh,Mahoba,369.5708630612242
1995,Uttar Pradesh,Kannauj,857.8874634724542
1995,Uttar Pradesh,Bagpat,785.6671910012343
1995,Uttar Pradesh,Jalaun,1426.297044644246
1995,Uttarakhand,Udham Singh Nagar,1296.7278625679808
1995,Uttarakhand,Chamoli,283.05252184567445
1995,Uttarakhand,Bageshwar,247.99524262599635
1995,Uttarakhand,Nainital,1743.6155755012444
1995,Uttarakhand,Uttarkashi,277.68299878080694
1995,Uttarakhand,Pauri Garhwal,437.86719989263634
1995,Uttarakhand,Dehradun,1311.4793849996993
1996,Andhra Pradesh,East Godavari,7892.338311633975
1996,Andhra Pradesh,Vizianagaram,653.2523906942151
1996,Andhra Pradesh,Guntur,7743.344642391764
1996,Andhra Pradesh,Kurnool,2167.008691803554
1996,Andhra Pradesh,Visakhapatnam,6836.420297005628
1996,Andhra Pradesh,Prakasam,2138.2250185416847
1996,Andhra Pradesh,Krishna,5401.708508134236
1996,Andhra Pradesh,West Godavari,9561.409165750063
1996,Andhra Pradesh,Kadapa,1910.7809732757
1996,Andhra Pradesh,Anantapur,1770.0629732074378
1996,Andhra Pradesh,Chittoor,3282.80526568648
1996,Andhra Pradesh,Srikakulam,918.0065982386203
1996,Andhra Pradesh,Nellore,2267.357283882168
1996,Haryana,Kurukshetra,3475.825228179929
1996,Haryana,Ambala,2619.190661575785
1996,Haryana,Panchkula,2241.6408053265095
1996,Haryana,Fatehabad,2124.544971177693
1996,Haryana,Sonipat,2986.5390732847245
1996,Haryana,Gurgaon,9395.971031076702
1996,Haryana,Sirsa,907.8719600747104
1996,Haryana,Bhiwani,2113.2348805217025
1996,Haryana,Faridabad,7652.177373017386
1996,Haryana,Panipat,3614.3425684188833
1996,Haryana,Yamunanagar,1383.529496792183
1996,Haryana,Kaithal,1898.0380503021374
1996,Haryana,Jhajjar,1656.564986543061
1996,Haryana,Jind,1483.7040607344213
1996,Haryana,Mahendragarh,1672.408203511919
1996,Haryana,Hisar,3122.246747842016
1996,Haryana,Rewari,3067.6541629058333
1996,Haryana,Karnal,3709.0254763409603
1996,Haryana,Rohtak,2549.51639105901
1996,Himachal Pradesh,Mandi,1662.1074811768383
1996,Himachal Pradesh,Una,860.3820149677617
1996,Himachal Pradesh,Hamirpur,2955.6806691319202
1996,Himachal Pradesh,Kangra,890.5384734209715
1996,Himachal Pradesh,Bilaspur,1099.3764969992772
1996,Himachal Pradesh,Kullu,1052.9247589424378
1996,Himachal Pradesh,Kinnaur,551.9144653798427
1996,Himachal Pradesh,Chamba,701.0866752079181
1996,Himachal Pradesh,Solan,1525.832806885327
1996,Himachal Pradesh,Shimla,1007.2256124634886
1996,Himachal Pradesh,Sirmaur,1522.8876353102387
